Metric,RF_Improvement (percentage increment),XGB_Improvement (percentage increment)
Accuracy,-0.7516228220020574,-0.20498804236418453
Precision,-24.337502387741615,-23.398769484023944
Recall,83.27341011196353,54.95888690212971
F1,62.04947721477828,46.49342695485585
ROC-AUC,5.867236134944963,6.0253836112357595
PR-AUC,9.159119532739604,10.954475243280823
