Model,PR-AUC,ROC-AUC
RF,0.23235786855653975,0.6894952300212377
SVM,0.20193192088275838,0.6769481419450972
RF_Optimized,0.24921133054083333,0.7178781662835227
XGB_Optimized,0.2381838642974279,0.6949988928452381
GraphConv,0.23121756249913206,0.6907707925857997
GAT,0.18826450670105346,0.707951761542806
Hybrid_GNN_RF,0.45343093693132513,0.8063521026179115
