Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Train Time (s)
Random Forest,0.9298469387755102,0.43329397210976156,0.08859830198213706,0.13764522257628167,0.6894952300212377,0.23235786855653975,8.5025092959404
SVM,0.9265518707482993,0.3361035163666743,0.07021003728913885,0.110721411048494,0.6769481419450971,0.20193192088275838,128.15543363491696
RF_Baseline,0.9333545918367345,0.698076923076923,0.10978343465045586,0.16213402825244927,0.6814945209940896,0.2782144822198808,
RF_Optimized,0.9263392857142856,0.5281824352548037,0.20120384442192946,0.26273734517035496,0.7214794137875249,0.3036964792037923,
XGB_Optimized,0.9314413265306124,0.5347355130249867,0.1701191883372734,0.23751569424696709,0.7225571801735371,0.3086914187978796,
GAT,,,,,0.7301973695620204,0.21849876752926953,
GraphConv,,,,,0.715359856304924,0.25168012553496594,
